column_name	description
flag_palmateer2021_1-dayFemaleElavPool_H3K27me3	"1 if H3K27me3 detected in gene in 1 day old female elav-expressing neurons (using pool peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayFemaleFruP1Pool_H3K4me3	"1 if H3K4me3 detected in gene in 1 day old female fru-P1 expressing neurons (using pool peak method) in Palmateer, et al. 2021"
flag_palmateer2021_1-dayFemaleFruP1Pool_H3K27me3	"1 if H3K27me3 detected in gene in 1 day old female fru-P1 expressing neurons (using pool peak method) in Palmateer, et al. 2021"
flag_dmel617_miRNA_gene_id	1 in gene is annotated as a miRNA gene in D. melanogaster r6.17 reference
flag_dmel617_gene_id	1 if gene is in D. melanogaster r6.17 reference
flag_dalton2013_fruM_male_regulation	"1 if gene upregulated or downregulated in males with overexpression of FRU-MA, FRU-MB, or FRU-MC isoforms in Dalton, et al. 2013"
flag_dalton2013_fruM_female_regulation	"1 if gene upregulated or downregulated in females with ectopic expression of FRU-MA, FRU-MB, or FRU-MC isoforms in Dalton, et al. 2013"
flag_arbeitman2016_dsx_regulated	"1 if gene determined to be regulated by dsx in Arbeitman, et al. 2016"
flag_courtship_genes	"1 if D. melanogaster gene related to ""courtship"" in GO term"
flag_flight_behavior_genes	"1 if D. melanogaster gene related to ""flight behavior"" in GO term"
flag_flight_all_genes	"1 if D. melanogaster gene related to ""flight"" in GO term"
flag_volt_gtd_k_chnnl_cmplx_genes	"1 if D. melanogaster gene related to ""voltage-gated potassium channel complex"" in GO term"
flag_volt_gtd_k_chnnl_all_genes	"1 if D. melanogaster gene related to ""voltage-gated potassium channel"" in GO term"
flag_K27_methyl_all_genes	"1 if D. melanogaster gene related to ""H3-K27"" and ""methyl"" in GO term"
flag_K4_methyl_all_genes	"1 if D. melanogaster gene related to ""H3-K4"" and ""methyl"" in GO term"
flag_heterochromatin_all_genes	"1 if D. melanogaster gene related to ""heterochromatin"" or ""negative regulation of euchromatin"" in GO term and exluding terms with ""negative regulation of heterochromatin"""
flag_euchromatin_all_genes	"1 if D. melanogaster gene related to ""euchromatin"" or ""negative regulation of heterochromatin"" in GO term and exluding terms with ""negative regulation of euchromatin"""
flag_silencing_genes	"1 if D. melanogaster gene related to ""silencing"" in GO term and excluding terms with ""negative regulation of chromatin silencing"", ""negative regulation of posttranscriptional gene silencing"", ""negative regulation of gene silencing"", ""negative regulation of methylation-dependent chromatin silencing"", and ""negative regulation of production of miRNAs involved in gene silencing"""
flag_dosage_compensation_genes	"1 if D. melanogaster gene related to ""dosage compensation"" in GO term"
flag_any_k4_mel	"1 if H3K4me3 detected in gene in any sex (gene_k4 != ""none"") in D. melanogaster"
flag_any_k4_sim	"1 if H3K4me3 detected in gene in any sex (gene_k4 != ""none"") in D. simulans"
flag_any_k4_both_species	1 if flag_any_k4_mel==1 AND flag_any_k4_sim==1
flag_any_k4_either_species	1 if flag_any_k4_mel==1 OR flag_any_k4_sim==1
flag_any_k4_mel_only	1 if flag_any_k4_mel==1 AND flag_any_k4_sim==0
flag_any_k4_sim_only	1 if flag_any_k4_mel==0 AND flag_any_k4_sim==1
flag_has_male_k4_mel	"1 if H3K4me3 detected in gene in males (gene_k4 != ""none"" or ""fem"") in D. melanogaster"
flag_has_male_k4_sim	"1 if H3K4me3 detected in gene in males (gene_k4 != ""none"" or ""fem"") in D. simulans"
flag_has_male_k4_both_species	1 if flag_has_male_k4_mel==1 and flag_has_male_k4_sim==1
flag_has_male_k4_mel_only	1 if flag_has_male_k4_mel==1 AND flag_has_male_k4_sim==0
flag_has_male_k4_sim_only	1 if flag_has_male_k4_mel==0 AND flag_any_has_male_sim==1
flag_has_female_k4_mel	"1 if H3K4me3 detected in gene in females (gene_k4 != ""none"" or ""male"") in D. melanogaster"
flag_has_female_k4_sim	"1 if H3K4me3 detected in gene in females (gene_k4 != ""none"" or ""male"") in D. simulans"
flag_has_female_k4_both_species	1 if flag_has_female_k4_mel==1 AND flag_has_female_k4_sim==1
flag_has_female_k4_mel_only	1 if flag_has_female_k4_mel==1 AND flag_has_female_k4_sim==0
flag_has_female_k4_sim_only	1 if flag_has_female_k4_mel==0 AND flag_any_has_female_sim==1
flag_male_limited_k4_mel	"1 if H3K4me3 detected in gene only in males (gene_k4 == ""male"") in D. melanogaster"
flag_male_limited_k4_sim	"1 if H3K4me3 detected in gene only in males (gene_k4 == ""male"") in D. simulans"
flag_male_limited_k4_both_species	1 if flag_male_limited_k4_mel==1 and flag_male_limited_k4_sim==1
flag_male_limited_k4_mel_only	1 if flag_male_limited_k4_mel==1 AND flag_male_limited_k4_sim==0
flag_male_limited_k4_sim_only	1 if flag_male_limited_k4_mel==0 AND flag_male_limited_k4_sim==1
flag_female_limited_k4_mel	"1 if H3K4me3 detected in gene only in females (gene_k4 == ""fem"") in D. melanogaster"
flag_female_limited_k4_sim	"1 if H3K4me3 detected in gene only in females (gene_k4 == ""fem"") in D. simulans"
flag_female_limited_k4_both_species	1 if flag_female_limited_k4_mel==1 and flag_female_limited_k4_sim==1
flag_female_limited_k4_mel_only	1 if flag_female_limited_k4_mel==1 AND flag_female_limited_k4_sim==0
flag_female_limited_k4_sim_only	1 if flag_female_limited_k4_mel==0 AND flag_female_limited_k4_sim==1
flag_sex_limited_k4_mel	"1 if gene_k4==""fem"" OR ""male"""
flag_sex_limited_k4_sim	"1 if sim_gene_k4==""fem"" OR ""male"""
flag_sex_limited_k4_both_species	1 if flag_sex_limited_k4_mel==1 AND flag_sex_limited_k4_sim==1
flag_sex_limited_k4_mel_only	1 if flag_sex_limited_k4_mel==1 AND flag_sex_limited_k4_sim==0
flag_sex_limited_k4_sim_only	1 if flag_sex_limited_k4_mel==0 AND flag_sex_limited_k4_sim==1
flag_conserved_sex_limited_k4	1 if flag_female_limited_k4_both_species==1 OR flag_male_limited_k4_both_species==1
flag_any_k27_mel	"1 if H3K27me2me3 detected in gene in any sex (gene_k27 != ""none"") in D. melanogaster"
flag_any_k27_sim	"1 if H3K27me2me3 detected in gene in any sex (gene_k27 != ""none"") in D. simulans"
flag_any_k27_both_species	1 if flag_any_k27_mel==1 AND flag_any_k27_sim==1
flag_any_k27_mel_only	1 if flag_any_k27_mel==1 AND flag_any_k27_sim==0
flag_any_k27_sim_only	1 if flag_any_k27_mel==0 AND flag_any_k27_sim==1
flag_has_male_k27_mel	"1 if H3K27me2me3 detected in gene in males (gene_k27 != ""none"" or ""fem"") in D. melanogaster"
flag_has_male_k27_sim	"1 if H3K27me2me3 detected in gene in males (gene_k27 != ""none"" or ""fem"") in D. simulans"
flag_has_male_k27_both_species	1 if flag_has_male_k27_mel==1 and flag_has_male_k27_sim==1
flag_has_male_k27_mel_only	1 if flag_has_male_k27_mel==1 and flag_has_male_k27_sim==0
flag_has_male_k27_sim_only	1 if flag_has_male_k27_mel==0 and flag_has_male_k27_sim==1
flag_has_female_k27_mel	"1 if H3K27me2me3 detected in gene in females (gene_k27 != ""none"" or ""male"") in D. melanogaster"
flag_has_female_k27_sim	"1 if H3K27me2me3 detected in gene in females (gene_k27 != ""none"" or ""male"") in D. simulans"
flag_has_female_k27_both_species	1 if flag_has_female_k27_mel==1 and flag_has_female_k27_sim==1
flag_has_female_k27_mel_only	1 if flag_has_female_k27_mel==1 and flag_has_female_k27_sim==0
flag_has_female_k27_sim_only	1 if flag_has_female_k27_mel==0 and flag_has_female_k27_sim==1
flag_male_limited_k27_mel	"1 if H3K27me2me3 detected in gene only in males (gene_k27 == ""male"") in D. melanogaster"
flag_male_limited_k27_sim	"1 if H3K27me2me3 detected in gene only in males (gene_k27 == ""male"") in D. simulans"
flag_male_limited_k27_both_species	1 if flag_male_limited_k27_mel==1 and flag_male_limited_k27_sim==1
flag_male_limited_k27_mel_only	1 if flag_male_limited_k27_mel==1 and flag_male_limited_k27_sim==0
flag_male_limited_k27_sim_only	1 if flag_male_limited_k27_mel==0 and flag_male_limited_k27_sim==1
flag_female_limited_k27_mel	"1 if H3K27me2me3 detected in gene only in females (gene_k27 == ""fem"") in D. melanogaster"
flag_female_limited_k27_sim	"1 if H3K27me2me3 detected in gene only in females (gene_k27 == ""fem"") in D. simulans"
flag_female_limited_k27_both_species	1 if flag_female_limited_k27_mel==1 and flag_female_limited_k27_sim==1
flag_female_limited_k27_mel_only	1 if flag_female_limited_k27_mel==1 and flag_female_limited_k27_sim==0
flag_female_limited_k27_sim_only	1 if flag_female_limited_k27_mel==0 and flag_female_limited_k27_sim==1
flag_sex_limited_k27_mel	"1 if gene_k27==""fem"" OR ""male"""
flag_sex_limited_k27_sim	"1 if sim_gene_k27==""fem"" OR ""male"""
flag_sex_limited_k27_both_species	1 if flag_sex_limited_k27_mel==1 AND flag_sex_limited_k27_sim==1
flag_sex_limited_k27_mel_only	1 if flag_sex_limited_k27_mel==1 AND flag_sex_limited_k27_sim==0
flag_sex_limited_k27_sim_only	1 if flag_sex_limited_k27_mel==0 AND flag_sex_limited_k27_sim==1
flag_conserved_sex_limited_k27	1 if flag_female_limited_k27_both_species==1 OR flag_male_limited_k27_both_species==1
flag_expressed_mel	"1 if gene is detected RNA-seq expression (APN>0) in at least one sex (gene_rna != ""none"") in D. melanogaster"
flag_expressed_sim	"1 if gene is detected RNA-seq expression (APN>0) in at least one sex (sim_gene_rna != ""none"") in D. simulans"
flag_expressed_M_mel	"1 if gene is detected RNA-seq expression (APN>0) in males (gene_rna != ""none"" or ""fem"") in D. melanogaster"
flag_expressed_M_sim	"1 if gene is detected RNA-seq expression (APN>0) in males (gene_rna != ""none"" or ""fem"") in D. simulans"
flag_expressed_F_mel	"1 if gene is detected RNA-seq expression (APN>0) in females (gene_rna != ""none"" or ""male"") in D. melanogaster"
flag_expressed_F_sim	"1 if gene is detected RNA-seq expression (APN>0) in females (gene_rna != ""none"" or ""male"") in D. simulans"
flag_sex_limited_mel	"1 if gene is sex-limited, detected (APN>0) in only one sex (gene_rna = ""fem"" or ""male"") in D. melanogaster"
flag_sex_limited_sim	"1 if gene is sex-limited, detected (APN>0) in only one sex (gene_rna = ""fem"" or ""male"") in D. simulans"
flag_male_limited_mel	"1 if gene is male-limited, detected (APN>0) in only males (gene_rna = ""male"") in D. melanogaster"
flag_male_limited_sim	"1 if gene is male-limited, detected (APN>0) in only males (gene_rna = ""male"") in D. simulans"
flag_female_limited_mel	"1 if gene is female-limited, detected (APN>0) in only females (gene_rna = ""fem"") in D. melanogaster"
flag_female_limited_sim	"1 if gene is female-limited, detected (APN>0) in only females (gene_rna = ""fem"") in D. simulans"
flag_low_express_mel	1 if gene is lowly expressed (APN<5) across all exonic features in D. melanogaster
flag_low_express_sim	1 if gene is lowly expressed (APN<5) across all exonic features in D. simulans
flag_sex_biased_mel	"1 if gene is detected in both sexes with statistical evidence of differential expression (gene_trend_ttest = male, female, or male_and_female) in D. melanogaster"
flag_sex_biased_sim	"1 if gene is detected in both sexes with statistical evidence of differential expression (gene_trend_ttest = male, female, or male_and_female) in D. simulans"
flag_U_mel	1 if gene is detected in both sexes with no statistical evidence of differential expression in D. melanogaster
flag_U_sim	1 if gene is detected in both sexes with no statistical evidence of differential expression in D. simulans
flag_M_mel	1 if gene is detected in both sexes with statistical significance with a trend towards male in D. melanogaster
flag_M_sim	1 if gene is detected in both sexes with statistical significance with a trend towards male in D. simulans
flag_M_mel_only	1 if flag_M_mel==1 AND flag_M_sim==0
flag_M_sim_only	1 if flag_M_mel==0 AND flag_M_sim==1
flag_M_mel_U_sim	1 if flag_M_mel==1 AND flag_U_sim==1
flag_M_sim_U_mel	1 if flag_M_sim==1 AND flag_U_mel==1
flag_MP_mel	1 if gene is detected in both sexes with flag_M_mel==1 and at least 2-fold change towards male in D. melanogaster
flag_MP_sim	1 if gene is detected in both sexes with flag_M_sim==1 and at least 2-fold change towards male in D. simulans
flag_F_mel	1 if gene is detected in both sexes with statistical significance with a trend towards female in D. melanogaster
flag_F_sim	1 if gene is detected in both sexes with statistical significance with a trend towards female in D. simulans
flag_F_mel_only	1 if flag_F_mel==1 AND flag_F_sim==0
flag_F_sim_only	1 if flag_F_mel==0 AND flag_F_sim==1
flag_F_mel_U_sim	1 if flag_F_mel==1 AND flag_U_sim==1
flag_F_sim_U_mel	1 if flag_F_sim==1 AND flag_U_mel==1
flag_M_mel_F_sim	1 if flag_M_mel==1 AND flag_F_sim==1
flag_M_sim_F_mel	1 if flag_M_sim==1 AND flag_F_mel==1
flag_FP_mel	1 if gene is detected in both sexes with flag_F_mel==1 and at least 2-fold change towards female in D. melanogaster
flag_FP_sim	1 if gene is detected in both sexes with flag_F_sim==1 and at least 2-fold change towards female in D. simulans
flag_MF_mel	1 if gene is detected in both sexes with at least one exonic feature statistically significant in males and at least one in females in D. melanogaster
flag_MF_sim	1 if gene is detected in both sexes with at least one exonic feature statistically significant in males and at least one in females in D. simulans
flag_MF_mel_only	1 if flag_MF_mel==1 AND flag_MF_sim==0
flag_MF_sim_only	1 if flag_MF_mel==0 AND flag_MF_sim==1
flag_MF_mel_U_sim	1 if flag_MF_mel==1 AND flag_U_sim==1
flag_MF_sim_U_mel	1 if flag_MF_sim==1 AND flag_U_mel==1
flag_MFP_mel	1 if gene is detected in both sexes with flag_MF_mel + at least 2-fold change in each of the sex-biased exonic regions in D. melanogaster
flag_MFP_sim	1 if gene is detected in both sexes with flag_MF_sim + at least 2-fold change in each of the sex-biased exonic regions in D. simulans
flag_sex_bias_both_species	1 if flag_sex_biased_mel==1 and flag_sex_biased_sim==1
flag_conserved_sex_bias	1 if gene has conserved sex bias direction where (flag_M_mel==1 and flag_M_sim==1) OR (flag_F_mel==1 and flag_F==1) OR (flag_MF_mel==1 and flag_MF_sim==1)
flag_conserved_male_bias	1 if gene has conserved male bias where flag_M_mel==1 and flag_M_sim==1
flag_conserved_female_bias	1 if gene has conserved female bias where flag_F_mel==1 and flag_F_sim==1
flag_conserved_male_and_female	1 if gene has conserved male and female bias where flag_MF_mel==1 and flag_MF_sim==1
flag_conserved_unbiased	1 if gene has conserved unbiased expression where flag_U_mel==1 and flag_U_sim==1
flag_sex_bias_mel_only	1 if gene is sex-biased in D. melanogaster (flag_M_mel==1 or flag_F_mel==1 or flag_MF_mel==1) and unbiased in D. simulans (flag_U_sim==1)
flag_sex_bias_sim_only	1 if gene is sex-biased in D. simulans (flag_M_sim==1 or flag_F_sim==1 or flag_MF_sim==1) and unbiased in D. melanogaster (flag_U_mel==1)
flag_switch_M_U	1 if flag_M_mel_U_sim==1 OR flag_M_sim_U_mel==1
flag_switch_F_U	1 if flag_F_mel_U_sim==1 OR flag_F_sim_U_mel==1
flag_switch_M_F	1 if flag_M_mel_F_sim==1 OR flag_M_sim_F_mel==1
flag_diverged_sex_bias	1 if _(flag_sex_biased_mel + _flag_sex_biased_sim)>0 AND flag_conserved_sex_bias==0
num_mel_gene_ID_2_sim_geneID	Number of unique mel_geneID associated with the given sim_geneID
num_sim_gene_ID_2_mel_geneID	Number of unique sim_geneID associated with the given mel_geneID
flag_one2one_ortholog	1 if mel_geneID is the only ortholog to the given sim_geneID and vice versa (paralogs are excluded)
