mel_geneID,mel_geneSymbol,mel_chrom,mel_start,mel_end,mel_strand,sim_geneID,sim_geneSymbol,sim_chrom,sim_start,sim_end,sim_strand,orthoDB_groupID,num_mel_geneID_2_sim_geneID,num_sim_geneID_2_mel_geneID,flag_one2one_ortholog
FBgn0031627,CG15630,2L,4734592,4794044,-,FBgn0194089,GD22692,Scf_2L,4555090,4614506,-,EOG0919070L,1,1,1
FBgn0031628,CG3294,2L,4794549,4796581,+,FBgn0194685,GD23299,Scf_2L,4615065,4617018,+,EOG09190B6O,1,1,1
FBgn0031629,Clect27,2L,4796600,4801923,-,FBgn0194088,GD22691,Scf_2L,4617025,4622264,-,EOG09190EAR,1,1,1
FBgn0031630,CG15629,2L,4813009,4815891,+,FBgn0194686,GD23300,Scf_2L,4618604,4636232,+,EOG09190C96,1,1,1
FBgn0031631,CG3225,2L,4815613,4818245,-,FBgn0194087,GD22690,Scf_2L,4635968,4638586,-,EOG091903SQ,1,1,1
FBgn0031632,CG15628,2L,4821774,4828945,+,FBgn0194687,GD23301,Scf_2L,4643349,4649265,+,EOG091909GB,1,1,1
FBgn0031633,Fnta,2L,4829214,4830693,-,FBgn0194086,GD22689,Scf_2L,4649551,4651086,-,EOG09190BVI,1,1,1
FBgn0031634,Ir25a,2L,4830846,4835300,-,FBgn0194085,GD22688,Scf_2L,4651056,4655725,-,EOG091901XJ,1,1,1
FBgn0031635,tank,2L,4835335,4837999,-,FBgn0194084,GD22687,Scf_2L,4655796,4658473,-,EOG091908XU,1,1,1
FBgn0031636,CG12194,2L,4838347,4841465,+,FBgn0194688,GD23302,Scf_2L,4658782,4662122,+,EOG091907SB,1,1,1
FBgn0031637,mxt,2L,4841482,4847295,-,FBgn0194083,GD22686,Scf_2L,4662309,4667759,-,EOG091906I8,1,1,1
FBgn0031638,CG11927,2L,4847766,4849499,+,FBgn0194689,GD23303,Scf_2L,4668130,4669938,+,EOG09190HRV,1,1,1
FBgn0031639,mRpS2,2L,4849439,4850419,-,FBgn0194082,GD22685,Scf_2L,4669883,4670884,-,EOG09190DBO,1,1,1
FBgn0031640,Mon1,2L,4850641,4852640,+,FBgn0268758,GD27468,Scf_2L,4671087,4673082,+,EOG091906O7,1,1,1
FBgn0031643,CG3008,2L,4883298,4885669,+,FBgn0194692,GD23306,Scf_2L,4703424,4705797,+,EOG091904PW,1,1,1
FBgn0031644,CG15625,2L,4889995,4891277,+,FBgn0194693,GD23307,Scf_2L,4710143,4711456,+,EOG09190AD3,1,1,1
FBgn0031645,CG3036,2L,4892112,4903889,+,FBgn0194694,GD23308,Scf_2L,4712227,4724025,+,EOG091906H1,1,1,1
FBgn0031646,CG2837,2L,4903865,4906762,-,FBgn0194079,GD22682,Scf_2L,4724147,4727071,-,EOG09190ELC,1,1,1
FBgn0031649,hoe2,2L,4933047,4936450,-,FBgn0183725,GD11986,Scf_2L,4747570,4751923,-,EOG091904TT,1,1,1
FBgn0031650,CG14044,2L,4942742,4944305,+,FBgn0270528,GD29238,Scf_2L,4756273,4757848,+,EOG091909M4,1,1,1
FBgn0031651,mRpL24,2L,4944256,4945361,-,FBgn0194077,GD22680,Scf_2L,4757802,4758995,-,EOG09190DNT,1,1,1
FBgn0031652,jet,2L,4948206,4949784,-,FBgn0194076,GD22679,Scf_2L,4761788,4763439,-,EOG09190D9B,1,1,1
FBgn0031653,Jon25Biii,2L,4949941,4950767,-,FBgn0184718,GD12995,Scf_3L,8190148,8191045,-,EOG09190EID,3,3,0
FBgn0031653,Jon25Biii,2L,4949941,4950767,-,FBgn0194075,GD22678,Scf_2L,4763528,4764356,-,EOG09190EID,3,3,0
FBgn0031653,Jon25Biii,2L,4949941,4950767,-,FBgn0185780,GD14088,Scf_3L,8188593,8189686,+,EOG09190EID,3,3,0
FBgn0031654,Jon25Bii,2L,4952243,4953136,-,FBgn0194074,GD22677,Scf_2L,4765787,4766683,-,EOG09190DQK,1,1,1
FBgn0031655,Marcal1,2L,4955509,4958292,+,FBgn0194696,GD23310,Scf_2L,4768835,4771632,+,EOG091905NE,1,1,1
FBgn0031657,CG3756,2L,4969004,4970216,+,FBgn0194698,GD23312,Scf_2L,4782307,4783523,+,EOG09190AZS,1,1,1
FBgn0031659,CG14043,2L,4971702,4973687,+,FBgn0194699,GD23313,Scf_2L,4785032,4787122,+,EOG091904HU,1,1,1
FBgn0031660,mRpL28,2L,4973976,4975316,+,FBgn0194700,GD23314,Scf_2L,4787224,4788502,+,EOG09190CE1,1,1,1
FBgn0031661,Gmd,2L,4975300,4977023,-,FBgn0194069,GD22672,Scf_2L,4788514,4790227,-,EOG091908XM,1,1,1
FBgn0031662,CG3792,2L,4977312,4978567,+,FBgn0194701,GD23315,Scf_2L,4790482,4791766,+,EOG09190EDI,1,1,1
FBgn0031663,CG8891,2L,4978484,4979379,-,FBgn0194068,GD22671,Scf_2L,4791742,4792607,-,EOG09190FZC,1,1,1
FBgn0031664,CG8892,2L,4979513,4981592,-,FBgn0194067,GD22670,Scf_2L,4792731,4794795,-,EOG091908M9,1,1,1
FBgn0031668,CG31917,2L,5009931,5010834,-,FBgn0194064,GD22667,Scf_2L,4823070,4823968,-,EOG09190HW5,1,1,1
FBgn0031670,CG3887,2L,5010922,5012127,+,FBgn0270139,GD28849,Scf_2L,4824060,4825262,+,EOG09190G59,1,1,1
FBgn0031673,CG31650,2L,5040648,5044712,-,FBgn0183722,GD11983,Scf_2L,4853893,4856371,-,EOG09190AV7,1,1,1
FBgn0031675,CG9121,2L,5047818,5051062,-,FBgn0186602,GD14930,Scf_2L,4861075,4864374,-,EOG091904Q0,1,1,1
FBgn0031676,senju,2L,5052843,5054575,+,FBgn0268732,GD27442,Scf_2L,4866158,4867932,+,EOG09190A8W,1,1,1
FBgn0031677,CG14036,2L,5054579,5055016,-,FBgn0194062,GD22665,Scf_2L,4867933,4868392,-,EOG09190JI8,1,1,1
FBgn0031678,CG31918,2L,5055982,5058248,-,FBgn0194061,GD22664,Scf_2L,4869387,4871853,-,EOG0919053Y,1,1,1
FBgn0031681,pgant5,2L,5072170,5093592,-,FBgn0183721,GD11982,Scf_2L,4885833,4907142,-,EOG091903N7,1,1,1
FBgn0031682,CG5828,2L,5093976,5095910,+,FBgn0194707,GD23321,Scf_2L,4907582,4909037,+,EOG09190AF5,1,1,1
FBgn0031683,CG4230,2L,5096227,5099294,+,FBgn0194708,GD23322,Scf_2L,4909589,4912457,+,EOG09190A2I,1,1,1
FBgn0031684,ND-13A,2L,5099177,5100288,-,FBgn0194059,GD22662,Scf_2L,4912591,4913599,-,EOG09190I6D,1,1,1
FBgn0031689,Cyp28d1,2L,5210460,5212445,+,FBgn0194714,GD23328,Scf_2L,5011857,5017052,+,EOG0919023Y,1,1,1
FBgn0031690,CG7742,2L,5212395,5215081,-,FBgn0194058,GD22661,Scf_2L,5017029,5019774,-,EOG09190688,1,1,1
FBgn0031692,TpnC25D,2L,5216701,5219053,+,FBgn0194715,GD23329,Scf_2L,5022388,5024154,+,EOG09190IAW,1,1,1
FBgn0031693,Cyp4ac1,2L,5264001,5265899,+,FBgn0194718,GD23332,Scf_2L,5076492,5079287,+,EOG091906EM,3,2,0
FBgn0031693,Cyp4ac1,2L,5264001,5265899,+,FBgn0194717,GD23331,Scf_2L,5068212,5076442,+,EOG091906EM,3,2,0
FBgn0031694,Cyp4ac2,2L,5266392,5268455,+,FBgn0194718,GD23332,Scf_2L,5076492,5079287,+,EOG091906EM,3,2,0
FBgn0031694,Cyp4ac2,2L,5266392,5268455,+,FBgn0194717,GD23331,Scf_2L,5068212,5076442,+,EOG091906EM,3,2,0
FBgn0031695,Cyp4ac3,2L,5268498,5270329,+,FBgn0194718,GD23332,Scf_2L,5076492,5079287,+,EOG091906EM,3,2,0
FBgn0031695,Cyp4ac3,2L,5268498,5270329,+,FBgn0194717,GD23331,Scf_2L,5068212,5076442,+,EOG091906EM,3,2,0
FBgn0031696,Bub1,2L,5278865,5283283,+,FBgn0194719,GD23333,Scf_2L,5087176,5091395,+,EOG091902RU,1,1,1
FBgn0031697,CG14024,2L,5311311,5314895,-,FBgn0194055,GD22657,Scf_2L,5120817,5123470,-,EOG09190CKH,1,1,1
FBgn0031700,CG14022,2L,5327975,5328879,-,FBgn0269959,GD28669,Scf_2L,5136810,5137714,-,EOG09190JA8,1,1,1
FBgn0031701,TotM,2L,5329857,5330464,+,FBgn0194721,GD23335,Scf_2L,5138635,5139262,+,EOG09190HIC,2,2,0
FBgn0031701,TotM,2L,5329857,5330464,+,FBgn0193151,GD21729,Scf_2L,19370009,19370998,-,EOG09190HIC,2,2,0
FBgn0031702,fusl,2L,5330470,5338073,-,FBgn0194052,GD22654,Scf_2L,5139374,5146909,-,EOG091907XC,1,1,1
FBgn0031703,CG12512,2L,5339132,5342234,-,FBgn0194050,GD22652,Scf_2L,5147993,5151068,-,EOG091905Z1,1,1,1
FBgn0031707,CG14020,2L,5517737,5518949,+,FBgn0194730,GD23344,Scf_2L,5322707,5323917,+,EOG09190B92,1,1,1
FBgn0031708,CG7382,2L,5518893,5519896,-,FBgn0194048,GD22650,Scf_2L,5323857,5324864,-,EOG09190EII,1,1,1
FBgn0031710,Vps52,2L,5521281,5523898,-,FBgn0194047,GD22649,Scf_2L,5326245,5328913,-,EOG091903U1,1,1,1
FBgn0031711,CG6907,2L,5524139,5525809,+,FBgn0194733,GD23347,Scf_2L,5329184,5330859,+,EOG0919089K,1,1,1
FBgn0031713,CG7277,2L,5530620,5532223,-,FBgn0194046,GD22648,Scf_2L,5335628,5337235,-,EOG091909DZ,1,1,1
FBgn0031715,tomb,2L,5535861,5536758,-,FBgn0268264,GD26974,Scf_2L,5340801,5341769,-,EOG09190D6F,1,1,1
FBgn0031716,CG14015,2L,5536850,5539196,-,FBgn0270892,GD29602,Scf_2L,5341862,5344356,-,EOG0919088J,1,1,1
FBgn0031717,Oscillin,2L,5547086,5549614,+,FBgn0194735,GD23349,Scf_2L,5352162,5354626,+,EOG09190CTV,1,1,1
FBgn0031718,CG14014,2L,5549709,5550835,-,FBgn0194045,GD22647,Scf_2L,5354707,5356204,-,EOG09190AZO,1,1,1
FBgn0031719,CG18269,2L,5551838,5552756,+,FBgn0194736,GD23350,Scf_2L,5356550,5357798,+,EOG09190H6M,1,1,1
FBgn0031720,CG14013,2L,5552843,5553850,-,FBgn0194044,GD22646,Scf_2L,5357886,5358913,-,EOG09190E0M,1,1,1
FBgn0031721,CG14017,2L,5553897,5555137,+,FBgn0194737,GD23351,Scf_2L,5358926,5360181,+,EOG09190EQO,1,1,1
FBgn0031722,CG14011,2L,5579580,5581116,-,FBgn0194042,GD22644,Scf_2L,5384120,5385734,-,EOG09190D1I,1,1,1
FBgn0031723,CG7251,2L,5587115,5588414,-,FBgn0194041,GD22643,Scf_2L,5391765,5393058,-,EOG09190I3L,1,1,1
FBgn0031724,CG18266,2L,5596833,5598636,+,FBgn0194740,GD23354,Scf_2L,5401420,5403073,+,EOG091909NR,1,1,1
FBgn0031725,DIP-eta,2L,5601723,5617946,-,FBgn0194039,GD22641,Scf_2L,5407077,5422551,-,EOG0919082O,1,1,1
FBgn0031726,Cyp6a16,2L,5620615,5623762,-,FBgn0194038,GD22640,Scf_2L,5425161,5430961,-,EOG091906U7,1,1,1
FBgn0031728,Hsp60C,2L,5662849,5670838,+,FBgn0194741,GD23355,Scf_2L,5467480,5475522,+,EOG091905HB,2,2,0
FBgn0031728,Hsp60C,2L,5662849,5670838,+,FBgn0188580,GD17003,Scf_X,10439063,10442853,+,EOG091905HB,2,2,0
FBgn0031729,CG12511,2L,5678582,5679499,+,FBgn0194742,GD23356,Scf_2L,5483315,5483959,+,EOG09190IVP,1,1,1
FBgn0031730,CG7236,2L,5706374,5713791,+,FBgn0194743,GD23357,Scf_2L,5510256,5518238,+,EOG09190802,1,1,1
FBgn0031731,CG14007,2L,5715349,5716680,-,FBgn0194036,GD22638,Scf_2L,5519938,5521311,-,EOG09190CJ1,1,1,1
FBgn0031732,CG11149,2L,5718121,5720899,-,FBgn0186609,GD14937,Scf_2L,5522991,5525340,-,EOG09190ACX,1,1,1
FBgn0031733,CG14006,2L,5726415,5728811,-,FBgn0269462,GD28172,Scf_2L,5531716,5533403,-,EOG09190C5A,1,1,1
FBgn0031734,CG11147,2L,5733675,5741244,-,FBgn0194034,GD22636,Scf_2L,5537831,5545228,-,EOG091903BX,1,1,1
FBgn0031735,CG11029,2L,5746157,5747961,+,FBgn0194746,GD23360,Scf_2L,5548143,5552089,+,EOG091907SI,1,1,1
FBgn0031736,CG11030,2L,5724656,5762420,+,FBgn0194747,GD23361,Scf_2L,5529182,5566722,+,EOG09190DN1,1,1,1
FBgn0031737,obst-E,2L,5762553,5766142,-,FBgn0194030,GD22632,Scf_2L,5566800,5570470,-,EOG09190DSH,1,1,1
FBgn0031738,CG9171,2L,5767002,5800253,-,FBgn0194029,GD22631,Scf_2L,5571650,5604408,-,EOG091906DM,1,1,1
FBgn0031739,CG14005,2L,5800517,5801975,-,FBgn0194028,GD22630,Scf_2L,5604634,5606119,-,EOG09190FN8,1,1,1
FBgn0031740,CG7239,2L,5802220,5804030,+,FBgn0194749,GD23363,Scf_2L,5606444,5608300,+,EOG09190EA7,1,1,1
FBgn0031741,CG11034,2L,5805395,5809063,+,FBgn0194750,GD23364,Scf_2L,5609124,5613425,+,EOG091902VJ,1,1,1
FBgn0031745,rau,2L,5859769,5879498,-,FBgn0194026,GD22628,Scf_2L,5655193,5674994,-,EOG09190B8L,1,1,1
FBgn0031746,CG9029,2L,5886002,5886609,+,FBgn0194753,GD23367,Scf_2L,5681438,5682149,+,EOG09190KQ5,1,1,1
FBgn0031747,CG9021,2L,5903178,5904689,-,FBgn0194025,GD22625,Scf_2L,5698578,5699910,-,EOG09190BTN,1,1,1
FBgn0031749,CG14000,2L,5908927,5910289,-,FBgn0269550,GD28260,Scf_2L,5704133,5705484,-,EOG09190BJ1,1,1,1
FBgn0031752,CG9044,2L,5949450,5955235,+,FBgn0194756,GD23371,Scf_2L,5744406,5750200,+,EOG091900XR,1,1,1
FBgn0031753,CG13999,2L,5955312,5956466,-,FBgn0194023,GD22623,Scf_2L,5750085,5751461,-,EOG09190I61,1,1,1
FBgn0031756,CG13992,2L,5965391,5967752,-,FBgn0194018,GD22618,Scf_2L,5760914,5763217,-,EOG09190GLT,1,1,1
FBgn0031757,Ucp4C,2L,5968566,5969761,+,FBgn0194758,GD23373,Scf_2L,5763968,5765189,+,EOG09190AUB,1,1,1
FBgn0031758,Ucp4B,2L,5969859,5971025,+,FBgn0194759,GD23374,Scf_2L,5765244,5766596,+,EOG09190AU4,1,1,1
FBgn0031759,lid,2L,5989400,5999501,-,FBgn0194017,GD22616,Scf_2L,5785265,5794992,-,EOG091900FM,1,1,1
FBgn0031760,Tsp26A,2L,6000228,6003738,+,FBgn0194762,GD23377,Scf_2L,5795625,5797997,+,EOG09190BEP,1,1,1
FBgn0031762,CG9098,2L,6007364,6012338,-,FBgn0194012,GD22611,Scf_2L,5802812,5807894,-,EOG0919026F,1,1,1
FBgn0031763,CG13996,2L,6020835,6021718,+,FBgn0194763,GD23378,Scf_2L,5816086,5817002,+,EOG09190ES8,1,1,1
FBgn0031764,CG9107,2L,6022951,6024539,-,FBgn0194010,GD22609,Scf_2L,5818917,5819905,-,EOG09190E36,1,1,1
FBgn0031765,CG9109,2L,6025870,6034423,-,FBgn0194009,GD22608,Scf_2L,5824942,5830062,-,EOG091905CF,1,1,1
FBgn0031766,CG9117,2L,6036997,6037902,-,FBgn0194007,GD22606,Scf_2L,5832455,5833259,-,EOG09190H2Y,1,1,1
FBgn0031768,CG12393,2L,6048002,6050474,+,FBgn0194765,GD23380,Scf_2L,5843542,5845836,+,EOG09190CNU,1,1,1
FBgn0031769,CG9135,2L,6050800,6053877,+,FBgn0194766,GD23381,Scf_2L,5846179,5849231,+,EOG0919078L,1,1,1
FBgn0031770,CG13995,2L,6054302,6060169,+,FBgn0268553,GD27263,Scf_2L,5849962,5855489,+,EOG091907E9,1,1,1
FBgn0031771,ND-51,2L,6060842,6062757,-,FBgn0194003,GD22602,Scf_2L,5856149,5858055,-,EOG091907DG,1,1,1
FBgn0031772,CG13994,2L,6062989,6063671,+,FBgn0194767,GD23382,Scf_2L,5858219,5858937,+,EOG09190H5S,1,1,1
FBgn0031773,Fbw5,2L,6063562,6065953,-,FBgn0194002,GD22601,Scf_2L,5858864,5861271,-,EOG091903FZ,1,1,1
FBgn0031774,CG9147,2L,6065997,6067635,+,FBgn0194768,GD23383,Scf_2L,5861310,5862942,+,EOG091909MJ,1,1,1
FBgn0031775,CG9150,2L,6067668,6068594,-,FBgn0194001,GD22600,Scf_2L,5862978,5864079,-,EOG09190DSM,1,1,1
FBgn0031776,Pfdn1,2L,6069079,6069838,+,FBgn0194769,GD23384,Scf_2L,5864410,5865164,+,EOG09190JBW,1,1,1
FBgn0031777,CG9154,2L,6069790,6070686,-,FBgn0194000,GD22599,Scf_2L,5865101,5866021,-,EOG09190G1R,1,1,1
FBgn0031779,CG9175,2L,6096698,6098966,-,FBgn0193999,GD22598,Scf_2L,5891931,5894199,-,EOG091907FD,1,1,1
FBgn0031782,WDR79,2L,6125879,6127775,-,FBgn0193998,GD22597,Scf_2L,5920654,5922410,-,EOG091905VU,1,1,1
FBgn0031784,CG9222,2L,6131023,6132484,+,FBgn0194775,GD23390,Scf_2L,5925658,5927150,+,EOG09190B85,1,1,1
FBgn0031785,CG13991,2L,6139382,6145010,+,FBgn0183763,GD12024,Scf_2L,5934192,5939890,+,EOG091900CZ,1,1,1
FBgn0031786,CG13989,2L,6160400,6161309,+,FBgn0194778,GD23393,Scf_2L,5956715,5957594,+,EOG09190J4Z,1,1,1
FBgn0031791,AANATL2,2L,6255859,6256822,+,FBgn0194782,GD23397,Scf_2L,6050985,6051918,+,EOG09190F9W,1,1,1
FBgn0031792,CG13983,2L,6263557,6264490,-,FBgn0193992,GD22591,Scf_2L,6058656,6060521,-,EOG09190HNC,1,1,1
FBgn0031799,Pez,2L,6332881,6338671,-,FBgn0193990,GD22589,Scf_2L,6128569,6133773,-,EOG091901XR,1,1,1
FBgn0031800,CG9497,2L,6346430,6348427,-,FBgn0193989,GD22588,Scf_2L,6141775,6143686,-,EOG0919086U,1,1,1
FBgn0031801,CG9498,2L,6349393,6351034,-,FBgn0193988,GD22587,Scf_2L,6144666,6146336,-,EOG0919081A,1,1,1
FBgn0031802,ppk7,2L,6352324,6354331,-,FBgn0193987,GD22586,Scf_2L,6147565,6149558,-,EOG091905O5,1,1,1
FBgn0031803,ppk14,2L,6354956,6356672,+,FBgn0194789,GD23404,Scf_2L,6150184,6151708,+,EOG09190BPC,1,1,1
FBgn0031804,CG9500,2L,6357005,6358318,-,FBgn0193986,GD22585,Scf_2L,6152259,6159805,-,EOG09190CXZ,1,1,1
FBgn0031805,CG9505,2L,6367882,6370190,+,FBgn0194790,GD23405,Scf_2L,6160487,6162885,+,EOG091905IX,1,1,1
FBgn0031808,CG9507,2L,6381266,6383419,+,FBgn0194792,GD23407,Scf_2L,6173350,6176026,+,EOG091903PL,1,1,1
FBgn0031811,CG13982,2L,6412315,6415335,+,FBgn0194793,GD23408,Scf_2L,6205007,6207695,+,EOG09190F79,1,1,1
FBgn0031813,CG9527,2L,6426724,6448403,-,FBgn0193979,GD22578,Scf_2L,6219291,6222814,-,EOG0919030I,1,1,1
FBgn0031814,retm,2L,6448464,6455929,-,FBgn0193978,GD22577,Scf_2L,6223092,6230269,-,EOG091903CT,1,1,1
FBgn0031815,frj,2L,6456052,6459008,+,FBgn0194795,GD23410,Scf_2L,6230619,6233473,+,EOG091907PH,1,1,1
FBgn0031816,Rchy1,2L,6459015,6465669,-,FBgn0193977,GD22576,Scf_2L,6233461,6240216,-,EOG091909XZ,1,1,1
FBgn0031817,CG9531,2L,6466217,6467698,-,FBgn0193976,GD22575,Scf_2L,6240775,6242236,-,EOG09190BLZ,1,1,1
FBgn0031818,CG9536,2L,6474438,6476975,-,FBgn0193974,GD22573,Scf_2L,6249513,6251861,-,EOG091908ZS,1,1,1
FBgn0031820,Daxx,2L,6480929,6487576,+,FBgn0194796,GD23411,Scf_2L,6255622,6262690,+,EOG09190BAU,1,1,1
FBgn0031821,KFase,2L,6487342,6488756,-,FBgn0193972,GD22571,Scf_2L,6262667,6263863,-,EOG09190BTI,1,1,1
FBgn0031822,Phf5a,2L,6490155,6490843,-,FBgn0193971,GD22570,Scf_2L,6265263,6266101,-,EOG09190ILT,1,1,1
FBgn0031824,CG9547,2L,6492974,6494532,-,FBgn0193970,GD22569,Scf_2L,6268086,6269658,-,EOG091908CC,1,1,1
FBgn0031826,CG9550,2L,6497053,6498466,+,FBgn0194800,GD23415,Scf_2L,6271283,6298823,+,EOG091909FW,1,1,1
FBgn0031829,IFT52,2L,6555717,6557502,-,FBgn0193967,GD22566,Scf_2L,6329187,6330975,-,EOG0919097T,1,1,1
FBgn0031830,COX5B,2L,6557800,6559308,+,FBgn0067177,GD23418,Scf_2L,6331259,6332749,+,EOG09190IHH,1,1,1
FBgn0031831,COX5BL,2L,6559431,6560133,+,FBgn0085859,CoVb,Scf_2L,6332829,6333541,+,EOG09190I98,1,1,1
FBgn0031832,CG9596,2L,6559426,6562289,-,FBgn0193966,GD22565,Scf_2L,6333511,6335664,-,EOG091908NE,1,1,1
FBgn0031834,CG13766,2L,6564112,6566181,-,FBgn0193965,GD22564,Scf_2L,6338269,6339616,-,EOG09190E4I,1,1,1
FBgn0031835,CG11319,2L,6568400,6601068,-,FBgn0193964,GD22563,Scf_2L,6342613,6374810,-,EOG09190238,1,1,1
FBgn0031836,CG11050,2L,6611011,6617117,+,FBgn0194804,GD23421,Scf_2L,6384697,6390713,+,EOG09190A0Q,1,1,1
FBgn0031837,DIP-iota,2L,6617134,6621700,-,FBgn0193963,GD22562,Scf_2L,6390188,6395340,-,EOG091909F7,1,1,1
FBgn0031842,Tango1,2L,6649388,6654574,+,FBgn0194806,GD23423,Scf_2L,6422946,6428184,+,EOG091901HK,1,1,1
FBgn0031844,CG13771,2L,6662061,6663612,-,FBgn0193958,GD22557,Scf_2L,6435717,6437303,-,EOG091908PL,1,1,1
FBgn0031848,Nse1,2L,6676649,6677625,-,FBgn0268439,GD27149,Scf_2L,6450390,6451291,-,EOG09190DRZ,1,1,1
FBgn0031849,CG11327,2L,6684842,6686712,-,FBgn0193952,GD22551,Scf_2L,6458420,6460253,-,EOG091909AJ,1,1,1
FBgn0031850,Tsp,2L,6686791,6709086,-,FBgn0268321,GD27031,Scf_2L,6460321,6462837,-,EOG091901HA,1,1,1
FBgn0031851,Aatf,2L,6717625,6719389,+,FBgn0194810,GD23427,Scf_2L,6490938,6492703,+,EOG09190AIE,1,1,1
FBgn0031853,TTLL3B,2L,6732866,6736149,+,FBgn0194812,GD23429,Scf_2L,6506255,6509446,+,EOG0919031G,1,1,1
FBgn0031854,TTLL3A,2L,6736364,6740188,-,FBgn0269348,GD28058,Scf_2L,6509611,6516351,-,EOG091901NU,1,1,1
FBgn0031855,CG11221,2L,6742502,6756133,+,FBgn0194813,GD23430,Scf_2L,6516007,6529270,+,EOG0919085Q,1,1,1
FBgn0031856,CG11322,2L,6757864,6759628,-,FBgn0268206,GD26916,Scf_X,2410274,2413610,+,EOG0919052Z,2,2,0
FBgn0031856,CG11322,2L,6757864,6759628,-,FBgn0193945,GD22544,Scf_2L,6531538,6533336,-,EOG0919052Z,2,2,0
FBgn0031857,LUBEL,2L,6759829,6772755,-,FBgn0193943,GD22542,Scf_2L,6533418,6546316,-,EOG0919005V,1,1,1
FBgn0031858,CG17378,2L,6774041,6778444,+,FBgn0194814,GD23431,Scf_2L,6547649,6552134,+,EOG091906HV,1,1,1
FBgn0031859,CG17377,2L,6801358,6802840,-,FBgn0270761,GD29471,Scf_2L,6573900,6576768,-,EOG09190JTU,1,1,1
FBgn0031860,CG11236,2L,6803011,6804372,+,FBgn0194815,GD23432,Scf_2L,6576970,6578252,+,EOG09190AOL,1,1,1
FBgn0031861,CG17375,2L,6804324,6805792,-,FBgn0269788,GD28498,Scf_2L,6578489,6579670,-,EOG09190DTM,1,1,1
FBgn0031865,Nha1,2L,6860905,6870389,-,FBgn0193938,GD22537,Scf_2L,6635403,6644758,-,EOG091904IC,1,1,1
FBgn0031866,Nlg2,2L,6874900,6906656,+,FBgn0194820,GD23437,Scf_2L,6649325,6674910,+,EOG091901EZ,1,1,1
FBgn0031868,Rat1,2L,6908083,6911423,+,FBgn0194821,GD23438,Scf_2L,6676354,6679314,+,EOG091902T2,1,1,1
FBgn0031869,CG18304,2L,6932545,6942814,-,FBgn0193931,GD22530,Scf_2L,6699800,6710092,-,EOG091900JH,1,1,1
FBgn0031871,Fgop2,2L,6943178,6945289,-,FBgn0193930,GD22529,Scf_2L,6711001,6712658,-,EOG09190DVN,1,1,1
FBgn0031872,ihog,2L,6945464,6948808,-,FBgn0084648,GD22528,Scf_2L,6712830,6716178,-,EOG091902LX,1,1,1
FBgn0031873,Gas41,2L,6949310,6950207,-,FBgn0193928,GD22526,Scf_2L,6718141,6718989,-,EOG09190EJP,1,1,1
FBgn0031874,CG13775,2L,6954357,6956950,-,FBgn0193927,GD22525,Scf_2L,6723139,6725743,-,EOG091904FV,1,1,1
FBgn0031875,CG3430,2L,6957008,6959104,+,FBgn0194823,GD23441,Scf_2L,6725792,6727880,+,EOG091905VM,1,1,1
FBgn0031876,Atac1,2L,6959099,6960328,-,FBgn0269869,GD28579,Scf_2L,6727865,6729060,-,EOG09190DC4,1,1,1
FBgn0031877,CG10399,2L,6960377,6961653,+,FBgn0268117,GD26827,Scf_2L,6729116,6730296,+,EOG09190BW5,1,1,1
FBgn0031878,sip2,2L,6961516,6964074,-,FBgn0270874,GD29584,Scf_2L,6730249,6732810,-,EOG091904ZI,1,1,1
FBgn0031879,uif,2L,6972828,7010359,-,FBgn0193921,GD22519,Scf_2L,6741383,6772284,-,EOG0919001F,1,1,1
FBgn0031881,MME1,2L,7027526,7028959,+,FBgn0194829,GD23447,Scf_2L,6789249,6790692,+,EOG09190C77,1,1,1
FBgn0031882,Rab30,2L,7030493,7032606,-,FBgn0193918,GD22516,Scf_2L,6791710,6793148,-,EOG09190FRV,1,1,1
FBgn0031883,Caper,2L,7032721,7037878,+,FBgn0194830,GD23448,Scf_2L,6793202,6798645,+,EOG09190AKB,1,1,1
FBgn0031885,Mnn1,2L,7056301,7063586,+,FBgn0194834,GD23452,Scf_2L,6816898,6823876,+,EOG091904TZ,1,1,1
FBgn0031886,Nuf2,2L,7064431,7065837,-,FBgn0193916,GD22514,Scf_2L,6825186,6826596,-,EOG091909VH,1,1,1
FBgn0031887,CG11289,2L,7067983,7069546,+,FBgn0194836,GD23454,Scf_2L,6828167,6829778,+,EOG0919063L,1,1,1
FBgn0031888,Pvf2,2L,7069536,7084635,-,FBgn0193915,GD22513,Scf_2L,6829749,6844791,-,EOG09190HXW,1,1,1
FBgn0031893,MICU1,2L,7182234,7185529,+,FBgn0194837,GD23455,Scf_2L,6942879,6946312,+,EOG091906V6,1,1,1
FBgn0031894,CG4496,2L,7185461,7190010,-,FBgn0193912,GD22510,Scf_2L,6945974,6950404,-,EOG091907KS,1,1,1
FBgn0031895,CG4497,2L,7190431,7194588,-,FBgn0193911,GD22509,Scf_2L,6950487,6955331,-,EOG09190A0T,1,1,1
FBgn0031896,CG4502,2L,7194908,7204264,-,FBgn0193910,GD22508,Scf_2L,6955679,6964909,-,EOG09190EQB,1,1,1
FBgn0031897,CG13784,2L,7204538,7220033,-,FBgn0193909,GD22507,Scf_2L,6966529,6980838,-,EOG091902MI,1,1,1
